Simulation #,Time from launch [s],Latitude,Longitude,Altitude [m],Remarks
1,0,56.307765,9.1676629,37.9161376953,Balloon Launch
1,3,56.3078532843,9.16740236848,44.901725524,
1,6,56.3079448992,9.16713344689,56.5108123005,
1,9,56.3080399527,9.16685595037,68.4212369626,
1,12,56.3081384708,9.16656990186,80.3463972036,
1,15,56.308240476,9.166275333,92.2743415592,
1,18,56.3083459904,9.16597227642,104.203681466,
1,21,56.3084550374,9.16566076164,116.138914745,
1,24,56.3085676427,9.16534081292,128.087576006,
1,27,56.3086838278,9.16501246409,140.036237267,
1,30,56.3088036143,9.164675749,151.984898528,
1,33,56.3089270238,9.16433070151,163.933559789,
1,36,56.3090540778,9.16397735552,175.882221049,
1,39,56.3091847977,9.16361574495,187.83088231,
1,42,56.3093192049,9.16324590375,199.779543571,
1,45,56.3094573399,9.16286782404,211.789557855,
1,48,56.3095992057,9.16248158049,223.740240533,
1,51,56.3097448243,9.16208720574,235.692996824,
1,54,56.3098942176,9.1616847325,247.647826728,
1,57,56.310046656,9.16127610846,259.604730245,
1,60,56.3102005245,9.1608654917,271.563707374,
1,63,56.310355827,9.16045289363,283.524758116,
1,66,56.3105125675,9.16003832545,295.48788247,
1,69,56.3106707498,9.15962179835,307.453183738,
1,72,56.3108303779,9.15920332356,319.420595572,
1,75,56.3109914555,9.1587829123,331.390092857,
1,78,56.3111539866,9.15836057582,343.361675593,
1,81,56.3113179748,9.1579363254,355.335343779,
1,84,56.311483424,9.1575101723,367.311097416,
1,87,56.3116503378,9.15708212782,379.288936504,
1,90,56.3118187199,9.15665220327,391.268861042,
1,93,56.3119885741,9.15622040995,403.250871032,
1,96,56.3121599038,9.15578675921,415.234966472,
1,99,56.3123327128,9.15535126238,427.221147363,
1,102,56.3125070046,9.15491393082,439.209413704,
1,105,56.3126827827,9.15447477589,451.199765497,
1,108,56.3128600507,9.15403380898,463.19220274,
1,111,56.313038812,9.15359104147,475.186725434,
1,114,56.3132187536,9.15314758878,487.183333579,
1,117,56.3133997967,9.15270373943,499.182027174,
1,120,56.3135819422,9.15225950163,511.18280622,
1,123,56.3137651909,9.15181488358,523.185670717,
1,126,56.3139495439,9.15136989344,535.190620665,
1,129,56.3141350019,9.15092453938,547.197656064,
1,132,56.3143215658,9.15047882955,559.207323605,
1,135,56.3145092365,9.15003277208,571.219377087,
1,138,56.3146980149,9.14958637512,583.233588144,
1,141,56.3148879016,9.14913964681,595.249956776,
1,144,56.3150788975,9.14869259526,607.268482982,
1,147,56.3152710033,9.1482452286,619.289166762,
1,150,56.3154642196,9.14779755493,631.312008117,
1,153,56.3156585472,9.14734958235,643.337007047,
1,156,56.3158539867,9.14690131895,655.364163551,
1,159,56.3160505387,9.1464527728,667.39347763,
1,162,56.3162482038,9.14600395197,679.424949283,
1,165,56.3164469827,9.14555486451,691.45857851,
1,168,56.3166468758,9.14510551847,703.494365312,
1,171,56.3168479791,9.14465756844,715.532309689,
1,174,56.3170502889,9.14421104886,727.57241164,
1,177,56.3172538,9.1437659697,739.614671166,
1,180,56.317458507,9.1433223408,751.659088266,
1,183,56.3176644047,9.14288017193,763.705662941,
1,186,56.3178714878,9.14243947272,775.75439519,
1,189,56.3180797509,9.1420002527,787.805285014,
1,192,56.3182891887,9.14156252131,799.858332412,
1,195,56.3184997958,9.14112628801,811.914755731,
1,198,56.318711567,9.14069156214,823.974319938,
1,201,56.3189244967,9.14025835282,836.036230789,
1,204,56.3191385796,9.13982666908,848.100488283,
1,207,56.31935381,9.13939651982,860.167092419,
1,210,56.3195701825,9.13896791385,872.2360432,
1,213,56.3197876916,9.13854085985,884.307340623,
1,216,56.3200063316,9.13811536641,896.380984689,
1,219,56.3202260971,9.13769144201,908.456975398,
1,222,56.3204469822,9.13726909501,920.535312751,
1,225,56.3206689816,9.13684833366,932.615996747,
1,228,56.3208917275,9.13643020841,944.699027386,
1,231,56.3211151485,9.13601489497,956.784404668,
1,234,56.3213392331,9.1356023943,968.872128593,
1,237,56.3215639698,9.13519270716,980.962199161,
1,240,56.3217893469,9.13478583416,993.054616373,
1,243,56.3220153531,9.13438177574,1005.14938023,
1,246,56.3222419767,9.13398053218,1017.24649072,
1,249,56.3224692065,9.13358210364,1029.34594787,
1,252,56.3226970308,9.13318649008,1041.44775165,
1,255,56.3229254384,9.13279369135,1053.55190208,
1,258,56.3231544178,9.1324037076,1065.6604789,
1,261,56.3233839578,9.13201653889,1077.77368941,
1,264,56.3236140471,9.13163218466,1089.88944024,
1,267,56.3238446743,9.13125064416,1102.00773139,
1,270,56.3240758281,9.13087191652,1114.12856287,
1,273,56.3243074972,9.13049600072,1126.25193466,
1,276,56.3245396703,9.13012289557,1138.37784677,
1,279,56.3247723363,9.12975259978,1150.5062992,
1,282,56.3250054838,9.12938511186,1162.63729195,
1,285,56.3252391018,9.12902043021,1174.77082502,
1,288,56.325473179,9.12865855308,1186.90689842,
1,291,56.3257077044,9.12829947857,1199.04551213,
1,294,56.3259426668,9.12794320465,1211.18666616,
1,297,56.3261780551,9.12758972915,1223.33036051,
1,300,56.3264138584,9.12723904973,1235.47659518,
1,303,56.3266500657,9.12689116395,1247.62537017,
1,306,56.3268866659,9.12654606922,1259.77668548,
1,309,56.3271236482,9.1262037628,1271.93054111,
1,312,56.3273610016,9.12586424182,1284.08693706,
1,315,56.3275987152,9.12552750329,1296.24587333,
1,318,56.3278367783,9.12519354407,1308.40734992,
1,321,56.32807518,9.1248623609,1320.57136682,
1,324,56.3283139096,9.12453395036,1332.73792405,
1,327,56.3285529564,9.12420830894,1344.9070216,
1,330,56.3287923096,9.12388543297,1357.07865947,
1,333,56.3290319586,9.12356531867,1369.25283766,
1,336,56.3292718929,9.12324796211,1381.42955617,
1,339,56.3295121018,9.12293335926,1393.60881499,
1,342,56.3297525748,9.12262150594,1405.79061414,
1,345,56.3299933157,9.12231193926,1417.97495361,
1,348,56.3302343335,9.12200418442,1430.16183339,
1,351,56.3304756236,9.1216982397,1442.3512535,
1,354,56.3307171817,9.12139410339,1454.54321393,
1,357,56.3309590032,9.12109177377,1466.73771467,
1,360,56.3312010838,9.1207912491,1478.93475574,
1,363,56.3314434192,9.12049252762,1491.13433713,
1,366,56.3316860049,9.12019560756,1503.33645883,
1,369,56.3319288366,9.11990048713,1515.54112086,
1,372,56.33217191,9.11960716454,1527.7483232,
1,375,56.3324152207,9.11931563796,1539.95806587,
1,378,56.3326587645,9.11902590558,1552.17034885,
1,381,56.332902537,9.11873796554,1564.38517216,
1,384,56.333146534,9.11845181597,1576.60253578,
1,387,56.3333907512,9.11816745513,1588.82317214,
1,390,56.3336351844,9.11788488129,1601.04758446,
1,393,56.3338798294,9.11760409256,1613.27462481,
1,396,56.3341246819,9.11732508704,1625.5042932,
1,399,56.3343697378,9.11704786281,1637.73658961,
1,402,56.3346149928,9.11677241794,1649.97151405,
1,405,56.3348604429,9.11649875047,1662.20906653,
1,408,56.3351060838,9.11622685846,1674.44924703,
1,411,56.3353519113,9.11595673991,1686.69205556,
1,414,56.3355979215,9.11568839284,1698.93749212,
1,417,56.33584411,9.11542181526,1711.18555671,
1,420,56.3360904729,9.11515700513,1723.43624933,
1,423,56.3363370061,9.11489396044,1735.68956999,
1,426,56.3365837055,9.11463267914,1747.94551867,
1,429,56.3368305669,9.11437315917,1760.20409538,
1,432,56.3370775864,9.11411539846,1772.46530012,
1,435,56.33732476,9.11385939493,1784.72913289,
1,438,56.3375720836,9.11360514647,1796.99559369,
1,441,56.3378195531,9.11335265099,1809.26468252,
1,444,56.3380671647,9.11310190635,1821.53639937,
1,447,56.3383149143,9.11285291043,1833.81074426,
1,450,56.338562798,9.11260566106,1846.08771718,
1,453,56.3388108118,9.11236015609,1858.36731813,
1,456,56.3390589518,9.11211639334,1870.64954711,
1,459,56.339307214,9.11187437063,1882.93440412,
1,462,56.3395555945,9.11163408575,1895.22188915,
1,465,56.3398040894,9.1113955365,1907.51200222,
1,468,56.3400526043,9.11115833852,1919.80474332,
1,471,56.3403010196,9.11092199172,1932.10011244,
1,474,56.3405493349,9.11068649426,1944.3981096,
1,477,56.3407975497,9.11045184414,1956.69873479,
1,480,56.3410456636,9.11021803938,1969.001988,
1,483,56.3412936762,9.10998507798,1981.30786925,
1,486,56.3415415869,9.10975295796,1993.61637852,
1,489,56.3417893955,9.10952167732,2005.92751583,
1,492,56.3420371014,9.1092912341,2018.24128116,
1,495,56.3422847042,9.10906162631,2030.55767453,
1,498,56.3425322036,9.10883285198,2042.87669592,
1,501,56.3427795991,9.10860490915,2055.19834534,
1,504,56.3430268903,9.10837779585,2067.5226228,
1,507,56.3432740767,9.10815151012,2079.84952828,
1,510,56.343521158,9.10792605,2092.17906179,
1,513,56.3437681338,9.10770141353,2104.51122334,
1,516,56.3440150037,9.10747759879,2116.84620441,
1,519,56.3442617673,9.10725460386,2129.18433778,
1,522,56.3445084242,9.1070324268,2141.52513123,
1,525,56.3447549739,9.10681106567,2153.86858476,
1,528,56.3450014162,9.10659051854,2166.21469838,
1,531,56.3452477506,9.10637078348,2178.56347208,
1,534,56.3454939768,9.10615185857,2190.91490587,
1,537,56.3457400944,9.10593374189,2203.26899974,
1,540,56.345986103,9.10571643152,2215.62575369,
1,543,56.3462320022,9.10549992554,2227.98516773,
1,546,56.3464777917,9.10528422205,2240.34724185,
1,549,56.3467234712,9.10506931913,2252.71197606,
1,552,56.3469690402,9.1048552149,2265.07937035,
1,555,56.3472144984,9.10464190745,2277.44942473,
1,558,56.3474598455,9.10442939489,2289.82213918,
1,561,56.3477050811,9.10421767532,2302.19751373,
1,564,56.3479502049,9.10400674687,2314.57554835,
1,567,56.3481952165,9.10379660764,2326.95624306,
1,570,56.3484401156,9.10358725577,2339.33959786,
1,573,56.3486849019,9.10337868937,2351.72561274,
1,576,56.348929575,9.10317090658,2364.1142877,
1,579,56.3491741346,9.10296390552,2376.50562275,
1,582,56.3494185804,9.10275768435,2388.89961788,
1,585,56.3496629121,9.10255224119,2401.2962731,
1,588,56.3499071292,9.10234757419,2413.6955884,
1,591,56.3501512316,9.10214368151,2426.09756378,
1,594,56.350395219,9.1019405613,2438.50219925,
1,597,56.3506393288,9.10173815015,2450.9094948,
1,600,56.3508837595,9.10153639643,2463.31945044,
1,603,56.3511285106,9.10133530053,2475.73206616,
1,606,56.3513735816,9.10113486316,2488.14734196,
1,609,56.3516189721,9.10093508507,2500.56527785,
1,612,56.3518646816,9.10073596699,2512.98587382,
1,615,56.3521107098,9.10053750963,2525.40912988,
1,618,56.352357056,9.10033971373,2537.83504602,
1,621,56.3526037199,9.10014258002,2550.26362224,
1,624,56.3528507009,9.09994610921,2562.69485855,
1,627,56.3530979987,9.09975030204,2575.12875494,
1,630,56.3533456127,9.09955515921,2587.56531142,
1,633,56.3535935425,9.09936068146,2600.00452798,
1,636,56.3538417875,9.0991668695,2612.44640462,
1,639,56.3540903474,9.09897372406,2624.89094135,
1,642,56.3543392216,9.09878124584,2637.33813816,
1,645,56.3545884096,9.09858943563,2649.78924994,
1,648,56.3548379112,9.09839829448,2662.24936309,
1,651,56.3550877259,9.09820782311,2674.71226417,
